Identification number,Section,Subsection,Head office country,Head office city,Level of interest,Fields of interest,Estimate of costs (absolute amount),Estimate of costs (as a range)
471593720714-56,II - In-house lobbyists and trade/business/professional associations,Trade and business associations,United Kingdom,London,global,"Economic and Financial Affairs		Development		Energy		Environment		Research and Technology		Climate Action",,100000-199999
422819020831-50,"IV - Think tanks		research and academic institutions",Academic institutions,France,Paris,global,"Culture		Education		Youth",50000,
971557020832-34,II - In-house lobbyists and trade/business/professional associations,Other organisations,France,Boulogne Billancourt Cedex,European,"Agriculture and Rural Development		Culture		Environment		Taxation		Youth		Regional Policy		Trans-European Networks		Public Health		Sport",,0-9999
284934620504-59,I - Professional consultancies/law firms/self-employed consultants,Professional consultancies,Italy,Lecce,regional/local,"General and Institutional Affairs		Agriculture and Rural Development		Audiovisual and Media		Culture		Development		Education		Employment and Social Affairs		Energy		Enterprise		Environment		Youth		Justice and Fundamental Rights		Fisheries and Aquaculture		Regional Policy		Research and Technology		Trans-European Networks		Public Health		Food Safety		Information Society		Sport		Transport		Climate Action		Communication",,10000-24999
09583767108-19,III - Non-governmental organisations,"Non-governmental organisations		platforms and networks and similar",Greece,_____,"global		national",Culture,,0-9999
555450011891-58,V - Organisations representing churches and religious communities,Organisations representing churches and religious communities,Belgium,Bruxelles,"European		global		national		regional/local","General and Institutional Affairs		Economic and Financial Affairs		Humanitarian Aid		Audiovisual and Media		Budget		Trade		Competition		Consumer Affairs		Culture		Development		Customs		Education		Enlargement		Employment and Social Affairs		Energy		Enterprise		Environment		Taxation		Youth		Justice and Fundamental Rights		Internal Market		Fisheries and Aquaculture		Foreign and Security Policy and Defence		Regional Policy		Research and Technology		External Relations		Trans-European Networks		Public Health		Food Safety		Information Society		Sport		Transport		Climate Action		Home Affairs		Communication",,10000-24999
891548520884-30,III - Non-governmental organisations,"Non-governmental organisations		platforms and networks and similar",United Kingdom,London,global,"Foreign and Security Policy and Defence		External Relations",,10000-24999
695949420861-92,"IV - Think tanks		research and academic institutions",Think tanks and research institutions,Belgium,BRUSSELS,global,"General and Institutional Affairs		Economic and Financial Affairs		Humanitarian Aid		Culture		Development		Education		Enlargement		Employment and Social Affairs		Energy		Youth		Justice and Fundamental Rights		Foreign and Security Policy and Defence		External Relations		Climate Action		Home Affairs",0,
479034220725-31,II - In-house lobbyists and trade/business/professional associations,Trade unions and professional associations,France,Paris,"European		national","Foreign and Security Policy and Defence		Research and Technology		Information Society",100000,
241685220789-25,II - In-house lobbyists and trade/business/professional associations,Trade unions and professional associations,France,Paris,national,"Economic and Financial Affairs		Taxation		Internal Market",,10000-24999
674342920396-33,III - Non-governmental organisations,"Non-governmental organisations		platforms and networks and similar",Canada,Toronto,global,"General and Institutional Affairs		Economic and Financial Affairs		Humanitarian Aid		Trade		Culture		Development		Education		Enlargement		Energy		Environment		Youth		Justice and Fundamental Rights		Foreign and Security Policy and Defence		External Relations		Public Health		Information Society		Sport		Communication",239498,
982307213646-56,III - Non-governmental organisations,"Non-governmental organisations		platforms and networks and similar",United Kingdom,"Stanmore		Middlesex",European,"Humanitarian Aid		Culture		Foreign and Security Policy and Defence",,0-9999
323898320938-95,II - In-house lobbyists and trade/business/professional associations,Companies & groups,India,Mumbai,global,"Competition		Development		Foreign and Security Policy and Defence		External Relations		Communication",,0-9999
925823620889-24,III - Non-governmental organisations,"Non-governmental organisations		platforms and networks and similar",Belgium,Brussels,global,"General and Institutional Affairs		Agriculture and Rural Development		Humanitarian Aid		Budget		Trade		Competition		Consumer Affairs		Development		Customs		Employment and Social Affairs		Taxation		Justice and Fundamental Rights		Internal Market		External Relations		Food Safety		Home Affairs",,0-9999
386735920730-21,III - Non-governmental organisations,"Non-governmental organisations		platforms and networks and similar",Czech Republic,Prague,European,"Humanitarian Aid		Budget		Culture		Development		Education		Employment and Social Affairs		Youth		Justice and Fundamental Rights		Sport",,25000-49999
526799120798-12,III - Non-governmental organisations,"Non-governmental organisations		platforms and networks and similar",Germany,Mörfelkden-Walldorf,European,"Environment		Transport		Climate Action",,50000-99999
761515620863-08,I - Professional consultancies/law firms/self-employed consultants,Professional consultancies,Italy,Legnaro (PD),"European		global		national","Agriculture and Rural Development		Trade		Customs		Energy		Environment		Research and Technology		Climate Action",,25000-49999
428294520891-74,II - In-house lobbyists and trade/business/professional associations,Other organisations,Austria,Vienna,"European		global		national","Enlargement		Foreign and Security Policy and Defence		External Relations		Home Affairs",,300000-399999
740029920940-72,III - Non-governmental organisations,"Non-governmental organisations		platforms and networks and similar",Uganda,KAMPALA,"national		regional/local","Development		Education		Employment and Social Affairs		Youth		Regional Policy		Public Health		Information Society",0,
479516820758-21,II - In-house lobbyists and trade/business/professional associations,Companies & groups,Portugal,Peniche,global,"Development		Energy		Research and Technology		Transport		Climate Action",,25000-49999
949596620776-57,I - Professional consultancies/law firms/self-employed consultants,Self-employed consultants,Belgium,Brussels,European,"Employment and Social Affairs		Energy		Environment		Internal Market		Climate Action",,0-9999
337584720592-05,II - In-house lobbyists and trade/business/professional associations,Companies & groups,Netherlands,Amsterdam,European,"Economic and Financial Affairs		Agriculture and Rural Development		Trade		Development		Energy		Enterprise		Environment		Fisheries and Aquaculture		Trans-European Networks		Transport		Climate Action		Financial Stability		Financial Services and Capital Markets Union",,0-9999
